treatment,outcome,subgroup,subgroup_variable,subgroup_level,treatment_descr,outcome_descr,subgroup_descr,subgroup_variable_descr,fup_period,n_0,n_1,yearsatrisk_0,yearsatrisk_1,events_0,events_1,rate_0,rate_1,rr,rrE,rrCI,q_0,q_1
pfizer,postest,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,0-6,1541333,1541333,24843.90691307324,25129.65366187543,3018,2444,0.12147847802520476,0.09725561811891696,0.8005995769780557,0.8,(0.76-0.84),"3,018 / 24,844","2,444 / 25,130"
pfizer,postest,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,7-13,1009563,1043352,16368.219028062971,17254.477754962354,3108,1558,0.1898801570697092,0.09029540169953404,0.475538903553701,0.48,(0.45-0.51),"3,108 / 16,368","1,558 / 17,254"
pfizer,postest,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,14-27,668340,729741,18238.113620807668,21032.120465434633,3526,1007,0.1933313978248948,0.04787914759498265,0.24765324274098519,0.25,(0.23-0.27),"3,526 / 18,238","1,007 / 21,032"
pfizer,postest,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,28-41,306221,379956,8528.678986995208,10810.461327857633,1732,683,0.20307951590639145,0.06317954241600841,0.3111074109765493,0.31,(0.28-0.34),"1,732 /  8,529","683 / 10,810"
pfizer,postest,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,42-55,147090,188474,4172.435318275154,5374.154688569473,1070,435,0.2564449580113151,0.08094296223464142,0.31563483588189706,0.32,(0.28-0.35),"1,070 /  4,172","435 /  5,374"
pfizer,postest,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,56-69,70515,90599,1811.6714579055442,2349.941136208077,519,274,0.2864757833078691,0.11659866529343504,0.4070105470944086,0.41,(0.35-0.47),"519 /  1,812","274 /  2,350"
pfizer,postest,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,All,1541333,1541333,73963.02532511979,81950.8090349076,12973,6401,0.17539845000896723,0.07810783170271625,0.44531654469422616,0.45,(0.43-0.46),"12,973 / 73,963","6,401 / 81,951"
pfizer,postest,vax12_type-az-az,vax12_type,az-az,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,0-6,2548912,2548912,39622.299794661194,41011.876796714576,7818,6644,0.19731313024524175,0.16200185212036541,0.821039390125798,0.82,(0.79-0.85),"7,818 / 39,622","6,644 / 41,012"
pfizer,postest,vax12_type-az-az,vax12_type,az-az,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,7-13,1499399,1643420,23250.934976043805,26518.447638603695,6549,3765,0.2816660924280098,0.141976636464918,0.5040600920084316,0.5,(0.48-0.52),"6,549 / 23,251","3,765 / 26,518"
pfizer,postest,vax12_type-az-az,vax12_type,az-az,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,14-27,878059,1070169,21659.860369609858,28700.651608487336,6059,1559,0.2797340285951777,0.05431932421837327,0.19418203960084704,0.19,(0.18-0.21),"6,059 / 21,660","1,559 / 28,701"
