treatment,outcome,subgroup,subgroup_variable,subgroup_level,treatment_descr,outcome_descr,subgroup_descr,subgroup_variable_descr,subgroup_level_descr,period,model,model_descr,term_left,term_right,estimate,std.error,robust.se,statistic,p.value,conf.low,conf.high,term_midpoint,hr,hr.ll,hr.ul,ve,ve.ll,ve.ul
pfizer,postest,cev-FALSE,cev,FALSE,BNT162b2,Positive SARS-CoV-2 test,Not Clinically Extremely Vulnerable,Clinically extremely vulnerable,Not Clinically Extremely Vulnerable,1,0,Unadjusted,0,28,-0.602492307047567,0.007091646420302619,0.007091511664888692,-84.95964408133335,0,-0.6163914145066944,-0.5885931995884395,14,0.5474455320680885,0.5398891628316899,0.5551076613751976,0.45255446793191145,0.4448923386248024,0.46011083716831014
pfizer,postest,cev-FALSE,cev,FALSE,BNT162b2,Positive SARS-CoV-2 test,Not Clinically Extremely Vulnerable,Clinically extremely vulnerable,Not Clinically Extremely Vulnerable,1,3,Full adjustment,0,28,-0.6812891152990073,0.00711098559717318,0.0071047564982098695,-95.89197257790136,0,-0.6952141821544255,-0.667364048443589,14,0.5059643254218498,0.4989675665911,0.5130591961087871,0.49403567457815023,0.48694080389121286,0.5010324334089
pfizer,postest,cev-FALSE,cev,FALSE,BNT162b2,Positive SARS-CoV-2 test,Not Clinically Extremely Vulnerable,Clinically extremely vulnerable,Not Clinically Extremely Vulnerable,2,0,Unadjusted,28,70,-0.626850046881902,0.01379434901722508,0.013793201807067723,-45.4463043207778,0,-0.6538842256552476,-0.5998158681085565,49,0.5342720852300729,0.5200219661746781,0.5489126991228044,0.46572791476992714,0.4510873008771956,0.4799780338253219
pfizer,postest,cev-FALSE,cev,FALSE,BNT162b2,Positive SARS-CoV-2 test,Not Clinically Extremely Vulnerable,Clinically extremely vulnerable,Not Clinically Extremely Vulnerable,2,3,Full adjustment,28,70,-0.7436557675260376,0.013830940151041072,0.01378898768644217,-53.93113580464117,0,-0.7706816867747305,-0.7166298482773447,49,0.4753728823078158,0.46269754598195095,0.488395452269063,0.5246271176921842,0.511604547730937,0.5373024540180491
pfizer,postest,cev-TRUE,cev,TRUE,BNT162b2,Positive SARS-CoV-2 test,Clinically Extremely Vulnerable,Clinically extremely vulnerable,Clinically Extremely Vulnerable,1,0,Unadjusted,0,28,-0.5969317419255553,0.02442778050592517,0.024429506520600705,-24.434866968032278,7.289245576641617e-132,-0.6448126948660191,-0.5490507889850915,14,0.5504981177852806,0.5247608232983355,0.5774977174941441,0.44950188221471943,0.42250228250585586,0.4752391767016645
pfizer,postest,cev-TRUE,cev,TRUE,BNT162b2,Positive SARS-CoV-2 test,Clinically Extremely Vulnerable,Clinically extremely vulnerable,Clinically Extremely Vulnerable,1,3,Full adjustment,0,28,-0.6563012393368558,0.024483463278891365,0.024440424875427,-26.85310270513002,7.759458883740309e-159,-0.7042035918595495,-0.6083988868141621,14,0.5187665837171421,0.49450224308666874,0.5442215321445724,0.4812334162828579,0.45577846785542764,0.5054977569133312
pfizer,postest,cev-TRUE,cev,TRUE,BNT162b2,Positive SARS-CoV-2 test,Clinically Extremely Vulnerable,Clinically extremely vulnerable,Clinically Extremely Vulnerable,2,0,Unadjusted,28,70,-0.6701424663467552,0.032546628461233615,0.03253330141253145,-20.59866159444317,2.8213302017466964e-94,-0.733906565413503,-0.6063783672800075,49,0.5116356817276028,0.4800300535808273,0.5453222540217306,0.48836431827239724,0.4546777459782694,0.5199699464191727
pfizer,postest,cev-TRUE,cev,TRUE,BNT162b2,Positive SARS-CoV-2 test,Clinically Extremely Vulnerable,Clinically extremely vulnerable,Clinically Extremely Vulnerable,2,3,Full adjustment,28,70,-0.7597145572821427,0.03272483594966895,0.032637186042624895,-23.277575348865508,7.480765855980182e-120,-0.8236822664824208,-0.6957468480818645,49,0.4677999380398547,0.43881285005063386,0.49870185434369274,0.5322000619601452,0.5012981456563073,0.5611871499493661
pfizer,covidemergency,cev-FALSE,cev,FALSE,BNT162b2,COVID-19 A&E attendance,Not Clinically Extremely Vulnerable,Clinically extremely vulnerable,Not Clinically Extremely Vulnerable,1,0,Unadjusted,0,28,-1.4076414123241794,0.1107273042147799,0.1107272787196172,-12.712688585877729,5.027567291516041e-37,-1.6246628907207574,-1.1906199339276013,14,0.24471979610312752,0.19697806714713786,0.3040327254303982,0.7552802038968724,0.6959672745696017,0.8030219328528622
pfizer,covidemergency,cev-FALSE,cev,FALSE,BNT162b2,COVID-19 A&E attendance,Not Clinically Extremely Vulnerable,Clinically extremely vulnerable,Not Clinically Extremely Vulnerable,1,3,Full adjustment,0,28,-1.4151028290780285,0.11084982447691798,0.11075866827430675,-12.776452183167835,2.2196580635967697e-37,-1.6321858298712888,-1.1980198282847683,14,0.24290063491616376,0.195501773131542,0.30179121906468465,0.7570993650838362,0.6982087809353154,0.804498226868458
pfizer,covidemergency,cev-FALSE,cev,FALSE,BNT162b2,COVID-19 A&E attendance,Not Clinically Extremely Vulnerable,Clinically extremely vulnerable,Not Clinically Extremely Vulnerable,2,0,Unadjusted,28,70,-1.771203213358472,0.21380375101134938,0.21383352202191913,-8.283094234293694,1.2001537872319351e-16,-2.190309215208786,-1.3520972115081582,49,0.17012816514587056,0.11188214760639362,0.25869714869726534,0.8298718348541294,0.7413028513027347,0.8881178523936064
pfizer,covidemergency,cev-FALSE,cev,FALSE,BNT162b2,COVID-19 A&E attendance,Not Clinically Extremely Vulnerable,Clinically extremely vulnerable,Not Clinically Extremely Vulnerable,2,3,Full adjustment,28,70,-1.7800353968440579,0.2140791145468179,0.21433868300864847,-8.304779015425014,1.0000539840979274e-16,-2.200131496034756,-1.3599392976533597,49,0.16863217811603964,0.11078858914428896,0.25667635733788563,0.8313678218839604,0.7433236426621144,0.889211410855711
pfizer,covidemergency,cev-TRUE,cev,TRUE,BNT162b2,COVID-19 A&E attendance,Clinically Extremely Vulnerable,Clinically extremely vulnerable,Clinically Extremely Vulnerable,1,0,Unadjusted,0,28,-0.9698745523758687,0.12583423455415385,0.12584011504065737,-7.707196962292305,1.2861123023279574e-14,-1.2165166456659342,-0.7232324590858032,14,0.3791305961528371,0.29626035141265045,0.4851813894563143,0.6208694038471629,0.5148186105436857,0.7037396485873495
pfizer,covidemergency,cev-TRUE,cev,TRUE,BNT162b2,COVID-19 A&E attendance,Clinically Extremely Vulnerable,Clinically extremely vulnerable,Clinically Extremely Vulnerable,1,3,Full adjustment,0,28,-0.9939521892422104,0.12616629255655876,0.1259861925347144,-7.889373980155289,3.0370613658035308e-15,-1.2408805891595796,-0.7470237893248413,14,0.37011104777861603,0.2891295015005071,0.4737745092662042,0.629888952221384,0.5262254907337958,0.7108704984994929
pfizer,covidemergency,cev-TRUE,cev,TRUE,BNT162b2,COVID-19 A&E attendance,Clinically Extremely Vulnerable,Clinically extremely vulnerable,Clinically Extremely Vulnerable,2,0,Unadjusted,28,70,-1.5639712359977482,0.20588156941350932,0.20566837256086418,-7.604335156271617,2.863722269295473e-14,-1.9670738389760078,-1.1608686330194886,49,0.20930322607720114,0.13986552705898261,0.31321399466681876,0.7906967739227988,0.6867860053331812,0.8601344729410174
