treatment,outcome,subgroup,subgroup_variable,subgroup_level,treatment_descr,outcome_descr,subgroup_descr,subgroup_variable_descr,subgroup_level_descr,model,model_descr,estimate,std.error,robust.se,statistic,p.value,conf.low,conf.high,hr,hr.ll,hr.ul,ve,ve.ll,ve.ul
pfizer,postest,cev-FALSE,cev,FALSE,BNT162b2,Positive SARS-CoV-2 test,Not Clinically Extremely Vulnerable,Clinically extremely vulnerable,Not Clinically Extremely Vulnerable,0,Unadjusted,-0.6075847221387924,0.006306996257131337,0.006306791808859957,-96.33816059779244,0,-0.6199458069421502,-0.5952236373354347,0.5446647985130442,0.5379735912386565,0.5514392296770761,0.45533520148695583,0.44856077032292385,0.4620264087613435
pfizer,postest,cev-FALSE,cev,FALSE,BNT162b2,Positive SARS-CoV-2 test,Not Clinically Extremely Vulnerable,Clinically extremely vulnerable,Not Clinically Extremely Vulnerable,3,Full adjustment,-0.6943728097409017,0.006324097538361279,0.006315698132997209,-109.94395158202038,0,-0.706751350618803,-0.6819942688630003,0.49938756079786617,0.49324397422875266,0.5056076686382049,0.5006124392021338,0.49439233136179506,0.5067560257712473
pfizer,postest,cev-TRUE,cev,TRUE,BNT162b2,Positive SARS-CoV-2 test,Clinically Extremely Vulnerable,Clinically extremely vulnerable,Clinically Extremely Vulnerable,0,Unadjusted,-0.6233284207646251,0.0195370917749705,0.019535090565528646,-31.908140823495437,2.0587891327398898e-223,-0.6616164947077895,-0.5850403468214608,0.5361569086328709,0.5160165219615822,0.5570833848148734,0.4638430913671291,0.4429166151851266,0.4839834780384178
pfizer,postest,cev-TRUE,cev,TRUE,BNT162b2,Positive SARS-CoV-2 test,Clinically Extremely Vulnerable,Clinically extremely vulnerable,Clinically Extremely Vulnerable,3,Full adjustment,-0.6934570741484894,0.01960405696229954,0.019563113861161757,-35.4471726265007,3.206717531781655e-275,-0.7318000727418228,-0.6551140755551561,0.49984507721175714,0.4810422991405042,0.5193828103250687,0.5001549227882429,0.4806171896749313,0.5189577008594958
pfizer,covidemergency,cev-FALSE,cev,FALSE,BNT162b2,COVID-19 A&E attendance,Not Clinically Extremely Vulnerable,Clinically extremely vulnerable,Not Clinically Extremely Vulnerable,0,Unadjusted,-1.4845136548705027,0.0983238177691044,0.09832669494106482,-15.097768268935434,1.6750753333977706e-51,-1.6772304356738466,-1.291796874067159,0.22661252577849852,0.1868908662046533,0.27477660028327283,0.7733874742215014,0.7252233997167272,0.8131091337953467
pfizer,covidemergency,cev-FALSE,cev,FALSE,BNT162b2,COVID-19 A&E attendance,Not Clinically Extremely Vulnerable,Clinically extremely vulnerable,Not Clinically Extremely Vulnerable,3,Full adjustment,-1.492012555315098,0.09843638526488169,0.09839768460047973,-15.163086015418536,6.208241964826537e-52,-1.6848684732941699,-1.2991566373360264,0.22491953671994125,0.18546882445531795,0.2727617331208164,0.7750804632800588,0.7272382668791836,0.814531175544682
pfizer,covidemergency,cev-TRUE,cev,TRUE,BNT162b2,COVID-19 A&E attendance,Clinically Extremely Vulnerable,Clinically extremely vulnerable,Clinically Extremely Vulnerable,0,Unadjusted,-1.1317034462512316,0.10736795446167582,0.10734133204807968,-10.543035237762151,5.470429166527371e-26,-1.342088591118023,-0.9213183013844405,0.3224834550440735,0.2612993507585077,0.39799401902561726,0.6775165449559265,0.6020059809743827,0.7387006492414923
pfizer,covidemergency,cev-TRUE,cev,TRUE,BNT162b2,COVID-19 A&E attendance,Clinically Extremely Vulnerable,Clinically extremely vulnerable,Clinically Extremely Vulnerable,3,Full adjustment,-1.1586789651549771,0.10767213066299575,0.10738254602921186,-10.790198295724664,3.8296233508888716e-27,-1.3691448879404469,-0.9482130423695073,0.3139005807090244,0.2543243424084348,0.38743273111946835,0.6860994192909756,0.6125672688805317,0.7456756575915652
pfizer,covidadmittedproxy1,cev-FALSE,cev,FALSE,BNT162b2,COVID-19 hospitalisation (A&E proxy),Not Clinically Extremely Vulnerable,Clinically extremely vulnerable,Not Clinically Extremely Vulnerable,0,Unadjusted,-1.6876753301909337,0.2187019950242129,0.21870473334510007,-7.7166840624702235,1.193951122832871e-14,-2.116328730795766,-1.2590219295861016,0.1849489699261998,0.12047310682976045,0.28393159582992034,0.8150510300738002,0.7160684041700797,0.8795268931702396
pfizer,covidadmittedproxy1,cev-FALSE,cev,FALSE,BNT162b2,COVID-19 hospitalisation (A&E proxy),Not Clinically Extremely Vulnerable,Clinically extremely vulnerable,Not Clinically Extremely Vulnerable,3,Full adjustment,-1.663923124033387,0.2188825149449508,0.2189902874811665,-7.598159457991884,3.003720785315418e-14,-2.093136200460546,-1.234710047606228,0.1893945025926524,0.12329983580782371,0.2909191028301608,0.8106054974073476,0.7090808971698392,0.8767001641921763
pfizer,covidadmittedproxy1,cev-TRUE,cev,TRUE,BNT162b2,COVID-19 hospitalisation (A&E proxy),Clinically Extremely Vulnerable,Clinically extremely vulnerable,Clinically Extremely Vulnerable,0,Unadjusted,-1.4344746372212414,0.2301989674058733,0.23027001617205353,-6.229532880865515,4.678279647725839e-10,-1.885795575637922,-0.9831536988045607,0.2382404938303867,0.1517083159652678,0.37412934511474544,0.7617595061696133,0.6258706548852546,0.8482916840347322
pfizer,covidadmittedproxy1,cev-TRUE,cev,TRUE,BNT162b2,COVID-19 hospitalisation (A&E proxy),Clinically Extremely Vulnerable,Clinically extremely vulnerable,Clinically Extremely Vulnerable,3,Full adjustment,-1.5063336923865882,0.2308840023496075,0.23063569070692522,-6.53122544810606,6.523371627690484e-11,-1.9583713397216809,-1.0542960450514958,0.22172138842473066,0.14108801835342366,0.34843762538250533,0.7782786115752693,0.6515623746174947,0.8589119816465763
pfizer,covidadmitted,cev-FALSE,cev,FALSE,BNT162b2,COVID-19 hospitalisation,Not Clinically Extremely Vulnerable,Clinically extremely vulnerable,Not Clinically Extremely Vulnerable,0,Unadjusted,-1.7125733772174763,0.06225985355808684,0.06225964741595691,-27.506955922441513,1.4495683214597794e-166,-1.834600043842914,-1.5905467105920386,0.1804009550646873,0.15967735293888752,0.20381415391265237,0.8195990449353127,0.7961858460873477,0.8403226470611125
pfizer,covidadmitted,cev-FALSE,cev,FALSE,BNT162b2,COVID-19 hospitalisation,Not Clinically Extremely Vulnerable,Clinically extremely vulnerable,Not Clinically Extremely Vulnerable,3,Full adjustment,-1.7173430899625841,0.06231894327571266,0.06231521993660873,-27.558967002115725,3.455432901479842e-167,-1.8394786767270295,-1.5952075031981388,0.17954254314663542,0.15890024291259194,0.20286642870202284,0.8204574568533646,0.7971335712979771,0.841099757087408
pfizer,covidadmitted,cev-TRUE,cev,TRUE,BNT162b2,COVID-19 hospitalisation,Clinically Extremely Vulnerable,Clinically extremely vulnerable,Clinically Extremely Vulnerable,0,Unadjusted,-1.3945468624719806,0.06408018666443707,0.06408036846745391,-21.762466350053273,5.263969506367057e-105,-1.5201420767842464,-1.2689516481597147,0.2479453642647606,0.21868081527797417,0.2811261865026386,0.7520546357352393,0.7188738134973613,0.7813191847220258
pfizer,covidadmitted,cev-TRUE,cev,TRUE,BNT162b2,COVID-19 hospitalisation,Clinically Extremely Vulnerable,Clinically extremely vulnerable,Clinically Extremely Vulnerable,3,Full adjustment,-1.4045160963425989,0.0642444250779734,0.06424249965997886,-21.862724890475736,5.882572978902466e-106,-1.5304290819529842,-1.2786031107322138,0.24548581920149637,0.21644277569946768,0.27842595916763585,0.7545141807985036,0.7215740408323641,0.7835572243005323
pfizer,noncovidadmitted,cev-FALSE,cev,FALSE,BNT162b2,Non-COVID-19 hospitalisation,Not Clinically Extremely Vulnerable,Clinically extremely vulnerable,Not Clinically Extremely Vulnerable,0,Unadjusted,-0.5428951293010692,0.010606845478902761,0.010600945609894032,-51.21195309165406,0,-0.5636726008985296,-0.5221176577036089,0.5810635607102196,0.5691150884492698,0.5932628890673585,0.4189364392897804,0.40673711093264153,0.43088491155073017
