treatment,treatment_descr,variable,var_type,var_class,var_label,row_type,label,stat_1,stat_2,stat_3,stat_4
pfizer,BNT162b2,N,dichotomous,integer,Total N,label,Total N,"1,009,016","742,862","4,352,417","4,352,417"
pfizer,BNT162b2,vax12_type_descr,categorical,character,Primary vaccine course,label,Primary vaccine course,NA,NA,NA,NA
pfizer,BNT162b2,vax12_type_descr,categorical,character,Primary vaccine course,level,BNT162b2-BNT162b2,"521,294 (52%)","431,390 (58%)","1,639,436 (38%)","1,639,436 (38%)"
pfizer,BNT162b2,vax12_type_descr,categorical,character,Primary vaccine course,level,ChAdOx1-ChAdOx1,"487,722 (48%)","311,472 (42%)","2,712,981 (62%)","2,712,981 (62%)"
pfizer,BNT162b2,ageband,categorical,factor,Age,label,Age,NA,NA,NA,NA
pfizer,BNT162b2,ageband,categorical,factor,Age,level,18-39,"109,859 (11%)","1,857 (0.2%)","387,296 (8.9%)","400,923 (9.2%)"
pfizer,BNT162b2,ageband,categorical,factor,Age,level,40-49,"110,163 (11%)","9,958 (1.3%)","481,322 (11%)","486,756 (11%)"
pfizer,BNT162b2,ageband,categorical,factor,Age,level,50-59,"162,799 (16%)","47,029 (6.3%)","996,510 (23%)","986,950 (23%)"
pfizer,BNT162b2,ageband,categorical,factor,Age,level,60-69,"209,841 (21%)","158,718 (21%)","1,029,482 (24%)","1,042,145 (24%)"
pfizer,BNT162b2,ageband,categorical,factor,Age,level,70-79,"184,798 (18%)","356,912 (48%)","1,041,995 (24%)","1,024,550 (24%)"
pfizer,BNT162b2,ageband,categorical,factor,Age,level,80-89,"200,871 (20%)","143,438 (19%)","366,677 (8.4%)","353,571 (8.1%)"
pfizer,BNT162b2,ageband,categorical,factor,Age,level,90+,"30,685 (3.0%)","24,950 (3.4%)","49,135 (1.1%)","57,522 (1.3%)"
pfizer,BNT162b2,sex,categorical,factor,Sex,label,Sex,NA,NA,NA,NA
pfizer,BNT162b2,sex,categorical,factor,Sex,level,Female,"562,866 (56%)","409,242 (55%)","2,324,099 (53%)","2,307,702 (53%)"
pfizer,BNT162b2,sex,categorical,factor,Sex,level,Male,"446,150 (44%)","333,620 (45%)","2,028,318 (47%)","2,044,715 (47%)"
pfizer,BNT162b2,ethnicity_combined,categorical,factor,Ethnicity,label,Ethnicity,NA,NA,NA,NA
pfizer,BNT162b2,ethnicity_combined,categorical,factor,Ethnicity,level,White,"919,509 (91%)","709,299 (95%)","4,049,666 (93%)","4,011,480 (92%)"
pfizer,BNT162b2,ethnicity_combined,categorical,factor,Ethnicity,level,Black,"13,212 (1.3%)","5,876 (0.8%)","43,315 (1.0%)","54,596 (1.3%)"
pfizer,BNT162b2,ethnicity_combined,categorical,factor,Ethnicity,level,South Asian,"55,356 (5.5%)","20,197 (2.7%)","182,227 (4.2%)","212,838 (4.9%)"
pfizer,BNT162b2,ethnicity_combined,categorical,factor,Ethnicity,level,Mixed,"7,066 (0.7%)","2,680 (0.4%)","27,356 (0.6%)","28,950 (0.7%)"
pfizer,BNT162b2,ethnicity_combined,categorical,factor,Ethnicity,level,Other,"13,873 (1.4%)","4,810 (0.6%)","49,853 (1.1%)","44,553 (1.0%)"
pfizer,BNT162b2,imd_Q5,categorical,factor,IMD,label,IMD,NA,NA,NA,NA
pfizer,BNT162b2,imd_Q5,categorical,factor,IMD,level,1 most deprived,"154,877 (15%)","103,527 (14%)","611,195 (14%)","743,871 (17%)"
pfizer,BNT162b2,imd_Q5,categorical,factor,IMD,level,2,"190,999 (19%)","132,619 (18%)","759,538 (17%)","830,286 (19%)"
pfizer,BNT162b2,imd_Q5,categorical,factor,IMD,level,3,"225,847 (22%)","177,718 (24%)","967,726 (22%)","975,470 (22%)"
pfizer,BNT162b2,imd_Q5,categorical,factor,IMD,level,4,"225,337 (22%)","173,056 (23%)","1,009,741 (23%)","936,497 (22%)"
pfizer,BNT162b2,imd_Q5,categorical,factor,IMD,level,5 least deprived,"211,956 (21%)","155,942 (21%)","1,004,217 (23%)","866,293 (20%)"
pfizer,BNT162b2,region,categorical,factor,Region,label,Region,NA,NA,NA,NA
